기준_년분기_코드,자치구_코드,자치구_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총_금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20221,11170,용산구,3971498.0,08,216599822000.0,120741447000.0,2260224000.0,16326789000.0,4629527000.0,2080968000.0,1181653000.0,1943638000.0,18285756000.0,28177112000.0,20972708000.0
20221,11230,동대문구,3030256.0,07,78353536000.0,25597256000.0,1847523000.0,1494029000.0,20085225000.0,6087111000.0,2299044000.0,1044729000.0,3584299000.0,1910414000.0,14403906000.0
20221,11380,은평구,2912739.0,06,73677548000.0,20776228000.0,3153677000.0,1763612000.0,16320763000.0,3797412000.0,3920275000.0,1554383000.0,3845742000.0,2961503000.0,15583953000.0
20221,11680,강남구,4943841.0,09,2336292738000.0,36917710000.0,25205260000.0,9928580000.0,151787801000.0,26501903000.0,28622019000.0,6613096000.0,1107184900000.0,878211630000.0,65319839000.0
20221,11740,강동구,3292857.0,07,161549791000.0,21919971000.0,1695483000.0,1610120000.0,17292640000.0,3232988000.0,5173409000.0,1510421000.0,88598704000.0,3053044000.0,17463011000.0
20221,11140,중구,3513603.0,07,2315028971000.0,35356133000.0,5617799000.0,7530865000.0,12041069000.0,319639135000.0,25307529000.0,1476954000.0,1846069357000.0,38960120000.0,23030010000.0
20213,11215,광진구,3192971.0,07,74577971000.0,20013995000.0,2856999000.0,2147781000.0,11101216000.0,5661045000.0,3029291000.0,1988937000.0,4827032000.0,3815836000.0,19135839000.0
20213,11440,마포구,3832436.0,08,976339983000.0,28108930000.0,5466616000.0,3014163000.0,15467146000.0,3428418000.0,8169963000.0,3175443000.0,868819372000.0,7497502000.0,33192430000.0
20213,11530,구로구,2994059.0,07,1111721906000.0,25850180000.0,1171575000.0,2344333000.0,18588388000.0,3296000000.0,3395463000.0,1344679000.0,1038345438000.0,2516740000.0,14869110000.0
20213,11560,영등포구,3604887.0,07,308583694000.0,28804500000.0,3465787000.0,2403201000.0,18040676000.0,153961188000.0,2864650000.0,1950560000.0,32570318000.0,35325967000.0,29196847000.0
