기준_년분기_코드,자치구_코드_명,전체임대료
2024년 3분기,중구,265240
2024년 3분기,용산구,121634
2024년 3분기,성동구,134105
2024년 3분기,광진구,106222
2024년 3분기,동대문구,92873
2024년 3분기,중랑구,85807
2024년 3분기,성북구,110002
2024년 3분기,강북구,97359
2024년 3분기,도봉구,98336
2024년 3분기,노원구,113413
2024년 3분기,은평구,102171
2024년 3분기,서대문구,127105
2024년 3분기,마포구,145170
2024년 3분기,양천구,109589
2024년 3분기,강서구,130326
2024년 3분기,구로구,134996
2024년 3분기,금천구,118866
2024년 3분기,영등포구,125447
2024년 3분기,동작구,129239
2024년 3분기,관악구,122687
2024년 3분기,서초구,143048
2024년 3분기,강남구,190833
2024년 3분기,송파구,129781
2024년 3분기,강동구,117589
2022년 4분기,서울시 전체,139927
2022년 4분기,종로구,195850
2022년 4분기,중구,275398
2022년 4분기,용산구,142406
2022년 4분기,성동구,178968
2022년 4분기,광진구,112871
2022년 4분기,동대문구,95276
2022년 4분기,중랑구,85954
2022년 4분기,성북구,102762
2022년 4분기,강북구,90159
2022년 4분기,도봉구,91737
2022년 4분기,노원구,121581
2022년 4분기,은평구,101765
2022년 4분기,서대문구,119913
2022년 4분기,마포구,163022
2022년 4분기,양천구,108895
2022년 4분기,강서구,122702
2022년 4분기,구로구,138304
2022년 4분기,금천구,96098
2022년 4분기,영등포구,115800
2022년 4분기,동작구,131421
2022년 4분기,관악구,107209
2022년 4분기,서초구,138922
2022년 4분기,강남구,174260
2022년 4분기,송파구,172451
2022년 4분기,강동구,112843
2023년 4분기,서울시 전체,137570
2023년 4분기,종로구,201913
2023년 4분기,중구,276336
2023년 4분기,용산구,137168
2023년 4분기,성동구,183176
2023년 4분기,광진구,105832
2023년 4분기,동대문구,91323
2023년 4분기,중랑구,89367
2023년 4분기,성북구,111041
2023년 4분기,강북구,82972
2023년 4분기,도봉구,131424
2023년 4분기,노원구,112598
2023년 4분기,은평구,94233
2023년 4분기,서대문구,140149
2023년 4분기,마포구,138163
2023년 4분기,양천구,114166
2023년 4분기,강서구,125771
2023년 4분기,구로구,133081
2023년 4분기,금천구,105720
2023년 4분기,영등포구,116895
2023년 4분기,동작구,141411
2023년 4분기,관악구,117480
2023년 4분기,서초구,135964
2023년 4분기,강남구,171151
2023년 4분기,송파구,128877
2023년 4분기,강동구,121075
2024년 4분기,서울시 전체,137164
2024년 4분기,종로구,188914
2024년 4분기,중구,264923
2024년 4분기,용산구,120697
2024년 4분기,성동구,133773
2024년 4분기,광진구,107476
2024년 4분기,동대문구,95424
2024년 4분기,중랑구,84492
2024년 4분기,성북구,104950
2024년 4분기,강북구,100569
2024년 4분기,도봉구,98219
2024년 4분기,노원구,125841
2024년 4분기,은평구,102342
2024년 4분기,서대문구,120123
2024년 4분기,마포구,145210
2024년 4분기,양천구,110045
2024년 4분기,강서구,130283
2024년 4분기,구로구,143653
2024년 4분기,금천구,122249
2024년 4분기,영등포구,124336
2024년 4분기,동작구,131339
2024년 4분기,관악구,121066
2024년 4분기,서초구,142364
2024년 4분기,강남구,197473
2024년 4분기,송파구,132591
2024년 4분기,강동구,118656
2025년 1분기,종로구,187083
2025년 1분기,중구,260614
2025년 1분기,용산구,124430
2025년 1분기,성동구,133160
2025년 1분기,광진구,113254
2025년 1분기,동대문구,95227
2025년 1분기,중랑구,83684
2025년 1분기,성북구,109279
2025년 1분기,강북구,101504
2025년 1분기,도봉구,95990
2025년 1분기,노원구,125957
2025년 1분기,은평구,97952
2025년 1분기,서대문구,120262
2025년 1분기,마포구,157717
2025년 1분기,양천구,114177
2025년 1분기,강서구,129934
2025년 1분기,구로구,151222
2025년 1분기,금천구,119617
2025년 1분기,영등포구,126099
2025년 1분기,동작구,130947
2025년 1분기,관악구,125650
2025년 1분기,서초구,144988
2025년 1분기,강남구,194130
2025년 1분기,송파구,131608
2025년 1분기,강동구,127842
2025년 2분기,서울시 전체,141666
