기준_년분기_코드,자치구_코드,자치구_코드_명,총_직장인구_수,남성_직장인구_수,여성_직장인구_수,연령대_10_직장인구_수,연령대_20_직장인구_수,연령대_30_직장인구_수,연령대_40_직장인구_수,연령대_50_직장인구_수,연령대_60_이상_직장인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20194,11230,동대문구,52698.0,29540.0,23158.0,54.0,7905.0,11543.0,12442.0,12006.0,8748.0,44.0,3981.0,6811.0,6932.0,6251.0,5521.0,10.0,3924.0,4732.0,5510.0,5755.0,3227.0
20191,11230,동대문구,52698.0,29540.0,23158.0,54.0,7905.0,11543.0,12442.0,12006.0,8748.0,44.0,3981.0,6811.0,6932.0,6251.0,5521.0,10.0,3924.0,4732.0,5510.0,5755.0,3227.0
20193,11230,동대문구,52698.0,29540.0,23158.0,54.0,7905.0,11543.0,12442.0,12006.0,8748.0,44.0,3981.0,6811.0,6932.0,6251.0,5521.0,10.0,3924.0,4732.0,5510.0,5755.0,3227.0
20192,11230,동대문구,52698.0,29540.0,23158.0,54.0,7905.0,11543.0,12442.0,12006.0,8748.0,44.0,3981.0,6811.0,6932.0,6251.0,5521.0,10.0,3924.0,4732.0,5510.0,5755.0,3227.0
20244,11230,동대문구,50705.0,29015.0,21690.0,0.0,7574.0,11215.0,12070.0,11567.0,8279.0,0.0,3883.0,6782.0,6848.0,6133.0,5369.0,0.0,3691.0,4433.0,5222.0,5434.0,2910.0
20241,11230,동대문구,53565.0,30754.0,22811.0,0.0,7786.0,11861.0,12741.0,12140.0,9037.0,0.0,3898.0,7117.0,7330.0,6502.0,5907.0,0.0,3888.0,4744.0,5411.0,5638.0,3130.0
20234,11230,동대문구,53565.0,30754.0,22811.0,0.0,7786.0,11861.0,12741.0,12140.0,9037.0,0.0,3898.0,7117.0,7330.0,6502.0,5907.0,0.0,3888.0,4744.0,5411.0,5638.0,3130.0
20233,11230,동대문구,51389.0,28937.0,22452.0,0.0,7632.0,11360.0,12228.0,11784.0,8385.0,0.0,3847.0,6766.0,6837.0,6135.0,5352.0,0.0,3785.0,4594.0,5391.0,5649.0,3033.0
20232,11230,동대문구,51389.0,28937.0,22452.0,0.0,7632.0,11360.0,12228.0,11784.0,8385.0,0.0,3847.0,6766.0,6837.0,6135.0,5352.0,0.0,3785.0,4594.0,5391.0,5649.0,3033.0
20231,11230,동대문구,51389.0,28937.0,22452.0,0.0,7632.0,11360.0,12228.0,11784.0,8385.0,0.0,3847.0,6766.0,6837.0,6135.0,5352.0,0.0,3785.0,4594.0,5391.0,5649.0,3033.0
20224,11230,동대문구,51389.0,28937.0,22452.0,0.0,7632.0,11360.0,12228.0,11784.0,8385.0,0.0,3847.0,6766.0,6837.0,6135.0,5352.0,0.0,3785.0,4594.0,5391.0,5649.0,3033.0
20221,11230,동대문구,52406.0,29559.0,22847.0,0.0,7777.0,11566.0,12461.0,12001.0,8601.0,0.0,3910.0,6904.0,6993.0,6247.0,5505.0,0.0,3867.0,4662.0,5468.0,5754.0,3096.0
20222,11260,중랑구,21341.0,13331.0,8010.0,1.0,2225.0,4430.0,5681.0,5772.0,3232.0,1.0,972.0,2523.0,3255.0,3792.0,2788.0,0.0,1253.0,1907.0,2426.0,1980.0,444.0
20223,11260,중랑구,21341.0,13331.0,8010.0,1.0,2225.0,4430.0,5681.0,5772.0,3232.0,1.0,972.0,2523.0,3255.0,3792.0,2788.0,0.0,1253.0,1907.0,2426.0,1980.0,444.0
20214,11260,중랑구,21341.0,13331.0,8010.0,1.0,2225.0,4430.0,5681.0,5772.0,3232.0,1.0,972.0,2523.0,3255.0,3792.0,2788.0,0.0,1253.0,1907.0,2426.0,1980.0,444.0
20213,11260,중랑구,22209.0,13629.0,8580.0,3.0,2487.0,4649.0,5798.0,5911.0,3361.0,3.0,1079.0,2620.0,3313.0,3824.0,2790.0,0.0,1408.0,2029.0,2485.0,2087.0,571.0
20212,11260,중랑구,22209.0,13629.0,8580.0,3.0,2487.0,4649.0,5798.0,5911.0,3361.0,3.0,1079.0,2620.0,3313.0,3824.0,2790.0,0.0,1408.0,2029.0,2485.0,2087.0,571.0
20211,11260,중랑구,22209.0,13629.0,8580.0,3.0,2487.0,4649.0,5798.0,5911.0,3361.0,3.0,1079.0,2620.0,3313.0,3824.0,2790.0,0.0,1408.0,2029.0,2485.0,2087.0,571.0
20204,11260,중랑구,22209.0,13629.0,8580.0,3.0,2487.0,4649.0,5798.0,5911.0,3361.0,3.0,1079.0,2620.0,3313.0,3824.0,2790.0,0.0,1408.0,2029.0,2485.0,2087.0,571.0
20203,11260,중랑구,22087.0,13418.0,8669.0,8.0,2574.0,4620.0,5747.0,5801.0,3337.0,6.0,1137.0,2596.0,3276.0,3707.0,2696.0,2.0,1437.0,2024.0,2471.0,2094.0,641.0
20202,11260,중랑구,22087.0,13418.0,8669.0,8.0,2574.0,4620.0,5747.0,5801.0,3337.0,6.0,1137.0,2596.0,3276.0,3707.0,2696.0,2.0,1437.0,2024.0,2471.0,2094.0,641.0
20242,11230,동대문구,53565.0,30754.0,22811.0,0.0,7786.0,11861.0,12741.0,12140.0,9037.0,0.0,3898.0,7117.0,7330.0,6502.0,5907.0,0.0,3888.0,4744.0,5411.0,5638.0,3130.0
20201,11260,중랑구,22087.0,13418.0,8669.0,8.0,2574.0,4620.0,5747.0,5801.0,3337.0,6.0,1137.0,2596.0,3276.0,3707.0,2696.0,2.0,1437.0,2024.0,2471.0,2094.0,641.0
