기준_년분기_코드,자치구_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20214,종로구,66974979.0,32910424.0,34064555.0,7045721.0,12130183.0,10604205.0,11097772.0,11063132.0,15033965.0,13808724.0,13727475.0,10215553.0,10319303.0,11693668.0,7210257.0,9613290.0,9923486.0,10014918.0,9986587.0,9874485.0,9066927.0,8495286.0
20214,구로구,78698310.0,38069989.0,40628321.0,11203670.0,10002503.0,13141999.0,13268256.0,12416001.0,18665882.0,21100103.0,16164547.0,9092345.0,9094817.0,12960850.0,10285650.0,11265871.0,11227356.0,11215017.0,11177711.0,11135460.0,11172317.0,11504579.0
20214,강북구,99016815.0,45585290.0,53431523.0,13785064.0,13364679.0,12732419.0,14830761.0,15940186.0,28363705.0,26822762.0,20201592.0,11286719.0,11305016.0,16244351.0,13156374.0,14120008.0,13995378.0,13977355.0,13935927.0,13976451.0,14375189.0,14636507.0
20214,성북구,118748595.0,54225562.0,64523034.0,20526464.0,19971202.0,16504269.0,17961272.0,17032174.0,26753216.0,31445199.0,24365223.0,13710992.0,13807060.0,19821169.0,15598951.0,16919838.0,16861516.0,16871430.0,16833410.0,16802135.0,17112580.0,17347687.0
20214,강남구,141200009.0,68973033.0,72226978.0,21389839.0,23367968.0,29109697.0,27798354.0,18214190.0,21319963.0,28910755.0,29213963.0,21233354.0,21424094.0,25042769.0,15375075.0,20486721.0,21481191.0,21524690.0,21497195.0,21126091.0,18168545.0,16915576.0
20214,금천구,38748740.0,19021257.0,19727483.0,4299415.0,5784495.0,6882081.0,6191206.0,6460020.0,9131522.0,10477694.0,7998829.0,4466573.0,4443734.0,6250746.0,5111164.0,5577050.0,5564472.0,5551094.0,5534042.0,5508497.0,5449503.0,5564082.0
20214,은평구,101701882.0,45811115.0,55890767.0,16819156.0,12989485.0,15252608.0,16123912.0,15237677.0,25279045.0,28672267.0,20956065.0,11046336.0,10962936.0,16273963.0,13790314.0,14505222.0,14329715.0,14305770.0,14287266.0,14312623.0,14835046.0,15126243.0
20214,서초구,99560677.0,48003023.0,51557654.0,16394613.0,14042922.0,18054571.0,19143669.0,13892906.0,18031996.0,22528209.0,20984155.0,13803561.0,13743449.0,16964173.0,11537129.0,14462604.0,14914615.0,14914246.0,14900285.0,14753836.0,13070925.0,12544166.0
20214,동작구,85574567.0,40189693.0,45384872.0,12518886.0,15215565.0,14339946.0,12884512.0,11571349.0,19044307.0,23560981.0,17737255.0,9568947.0,9488563.0,13810710.0,11408112.0,12213879.0,12151512.0,12136161.0,12104997.0,12107010.0,12366511.0,12494497.0
20221,서대문구,93514626.0,42946651.0,50567976.0,13446679.0,16666063.0,15426720.0,15251485.0,13539211.0,19184467.0,23611866.0,19562156.0,11616487.0,11583750.0,15415565.0,11724801.0,13472894.0,13444608.0,13491633.0,13576365.0,13560532.0,12992573.0,12976024.0
20221,광진구,94688581.0,44189305.0,50499277.0,13683047.0,17907890.0,16060363.0,14492727.0,13800624.0,18743931.0,26099160.0,19480083.0,10555995.0,10504587.0,15437863.0,12610896.0,13384067.0,13385686.0,13452533.0,13412187.0,13444259.0,13758101.0,13851751.0
